Date_start,Date_reported,Biweek_label,Biweek_index,Country,Country_code,WHO_region,New_cases,New_deaths,Cumulative_cases,Cumulative_deaths,Year,Week_num,flag_incomplete_biweek
2020-01-05,2020-01-12,2020-01-05 to 2020-01-12,1,Australia,AU,WPRO,0,0,0,0,2020,2,0
2020-01-19,2020-01-26,2020-01-19 to 2020-01-26,2,Australia,AU,WPRO,4,0,4,0,2020,4,0
2020-02-02,2020-02-09,2020-02-02 to 2020-02-09,3,Australia,AU,WPRO,11,0,15,0,2020,6,0
2020-02-16,2020-02-23,2020-02-16 to 2020-02-23,4,Australia,AU,WPRO,7,0,22,0,2020,8,0
2020-03-01,2020-03-08,2020-03-01 to 2020-03-08,5,Australia,AU,WPRO,48,4,70,4,2020,10,0
2020-03-15,2020-03-22,2020-03-15 to 2020-03-22,6,Australia,AU,WPRO,1011,5,1081,9,2020,12,0
2020-03-29,2020-04-05,2020-03-29 to 2020-04-05,7,Australia,AU,WPRO,4554,27,5635,36,2020,14,0
2020-04-12,2020-04-19,2020-04-12 to 2020-04-19,8,Australia,AU,WPRO,951,37,6586,73,2020,16,0
2020-04-26,2020-05-03,2020-04-26 to 2020-05-03,9,Australia,AU,WPRO,197,26,6783,99,2020,18,0
2020-05-10,2020-05-17,2020-05-10 to 2020-05-17,10,Australia,AU,WPRO,253,4,7036,103,2020,20,0
2020-05-24,2020-05-31,2020-05-24 to 2020-05-31,11,Australia,AU,WPRO,149,4,7185,107,2020,22,0
2020-06-07,2020-06-14,2020-06-07 to 2020-06-14,12,Australia,AU,WPRO,117,0,7302,107,2020,24,0
2020-06-21,2020-06-28,2020-06-21 to 2020-06-28,13,Australia,AU,WPRO,339,1,7641,108,2020,26,0
2020-07-05,2020-07-12,2020-07-05 to 2020-07-12,14,Australia,AU,WPRO,1912,5,9553,113,2020,28,0
2020-07-19,2020-07-26,2020-07-19 to 2020-07-26,15,Australia,AU,WPRO,4397,61,13950,174,2020,30,0
2020-08-02,2020-08-09,2020-08-02 to 2020-08-09,16,Australia,AU,WPRO,6748,201,20698,375,2020,32,0
