Date,Cases,lag_1,lag_2,lag_3,lag_4,roll4_mean,roll4_std,roll8_mean,growth_1w,growth_4w,zscore,week_sin,week_cos,Disease,Rt,surge,surge_onset
2020-02-02,8,4.0,0.0,0.0,0.0,3.0,3.8297084310253524,,2.0,,,0.5680647467311558,0.8229838658936564,COVID-19,1.5671646212386205,0,0
2020-02-09,3,8.0,4.0,0.0,0.0,3.75,3.304037933599835,,0.375,,,0.6631226582407952,0.7485107481711011,COVID-19,1.4448700109922132,0,0
2020-02-16,0,3.0,8.0,4.0,0.0,3.75,3.304037933599835,,0.0,,,0.7485107481711011,0.6631226582407953,COVID-19,0.9826200959912158,0,0
2020-02-23,7,0.0,3.0,8.0,4.0,4.5,3.696845502136472,2.75,,1.75,1.1496287842009763,0.8229838658936564,0.5680647467311559,COVID-19,0.9127505062702933,0,0
2020-03-01,3,7.0,0.0,3.0,8.0,3.25,2.872281323269014,3.125,0.42857142857142855,0.375,-0.04351941398892447,0.8854560256532099,0.4647231720437686,COVID-19,0.9296284145428957,0,0
2020-03-08,45,3.0,7.0,0.0,3.0,13.75,21.02974084481309,8.75,15.0,15.0,1.7237492495748434,0.9350162426854148,0.35460488704253557,COVID-19,1.6245516380457699,1,1
2020-03-15,179,45.0,3.0,7.0,0.0,58.5,82.53282175393416,31.125,3.977777777777778,,1.7917114289497937,0.970941817426052,0.23931566428755804,COVID-19,2.556133829358371,1,0
2020-03-22,832,179.0,45.0,3.0,7.0,264.75,385.5423668893818,134.625,4.648044692737431,118.85714285714286,1.8088154763029918,0.992708874098054,0.120536680255323,COVID-19,2.798592257856943,1,0
2020-03-29,2728,832.0,179.0,45.0,3.0,946.0,1236.7443821043485,474.625,3.2788461538461537,909.3333333333334,1.8220216178915094,1.0,-1.6081226496766364e-16,COVID-19,3.500805458267454,1,0
2020-04-05,1826,2728.0,832.0,179.0,45.0,1391.25,1119.2584971012432,702.5,0.6693548387096774,40.577777777777776,1.0037895650644975,0.992708874098054,-0.12053668025532288,COVID-19,2.20820872749162,1,0
2020-04-12,654,1826.0,2728.0,832.0,179.0,1510.0,961.9078264920537,784.25,0.35815991237677985,3.653631284916201,-0.1354079844375567,0.9709418174260521,-0.2393156642875575,COVID-19,1.3030240943748896,1,0
2020-04-19,297,654.0,1826.0,2728.0,832.0,1376.25,1112.9433573487318,820.5,0.4541284403669725,0.35697115384615385,-0.47037434254254284,0.9350162426854148,-0.35460488704253545,COVID-19,0.7605912212487144,0,0
2020-04-26,117,297.0,654.0,1826.0,2728.0,723.5,768.1321500887724,834.75,0.3939393939393939,0.04288856304985337,-0.9344095282524632,0.8854560256532099,-0.4647231720437685,COVID-19,0.5293724000743821,0,0
2020-05-03,80,117.0,297.0,654.0,1826.0,287.0,262.38521299798947,839.125,0.6837606837606838,0.04381161007667032,-2.8931698982816414,0.8229838658936565,-0.5680647467311557,COVID-19,0.5356245829312607,0,0
2020-05-10,146,80.0,117.0,297.0,654.0,160.0,95.24354746298381,835.0,1.825,0.22324159021406728,-7.2340858604387694,0.7485107481711013,-0.663122658240795,COVID-19,0.7137989781687272,0,0
2020-05-17,107,146.0,80.0,117.0,297.0,112.5,27.258026340883834,744.375,0.7328767123287672,0.3602693602693603,-23.383020913880785,0.6631226582407952,-0.7485107481711012,COVID-19,0.8674233243301985,0,0
2020-05-24,70,107.0,146.0,80.0,117.0,100.75,33.97425495872304,412.125,0.6542056074766355,0.5982905982905983,-10.070125170240354,0.5680647467311558,-0.8229838658936564,COVID-19,0.9443808739454528,0,0
2020-05-31,79,70.0,107.0,146.0,80.0,100.5,34.180891347851805,193.75,1.1285714285714286,0.9875,-3.3571389005691272,0.46472317204376906,-0.8854560256532096,COVID-19,0.9425816988033215,0,0
2020-06-07,70,79.0,70.0,107.0,146.0,81.5,17.521415467944276,120.75,0.8860759493670886,0.4794520547945205,-2.896455488590404,0.35460488704253584,-0.9350162426854147,COVID-19,0.8711502739435778,0,0
2020-06-14,47,70.0,79.0,70.0,107.0,66.5,13.674794331188929,89.5,0.6714285714285714,0.4392523364485981,-3.1079078025376723,0.23931566428755768,-0.970941817426052,COVID-19,0.8803533736749084,0,0
2020-06-21,134,47.0,70.0,79.0,70.0,82.5,36.882696936824594,91.625,2.851063829787234,1.9142857142857144,1.1489127292557544,0.12053668025532308,-0.992708874098054,COVID-19,1.0627319456505189,0,0
2020-06-28,205,134.0,47.0,70.0,79.0,114.0,70.9600826756399,107.25,1.5298507462686568,2.5949367088607596,1.3775350353919034,-3.216245299353273e-16,-1.0,COVID-19,1.2203321766332178,1,1
2020-07-05,721,205.0,134.0,47.0,70.0,276.75,303.1329466312325,179.125,3.5170731707317073,10.3,1.787582003282547,-0.12053668025532283,-0.992708874098054,COVID-19,1.6143325495979168,1,0
