Date,Cases,cases_per_100k,Rt,surge,Disease
2020-02-16,0,0.0,0.9997091330960118,0,COVID-19
2020-02-23,7,0.026257600262395955,0.9994881641389751,0,COVID-19
2020-03-01,3,0.01125325725531255,0.9982709394303538,0,COVID-19
2020-03-08,45,0.16879885882968826,1.0238323890699679,0,COVID-19
2020-03-15,179,0.6714443495669822,1.0950326553022744,0,COVID-19
2020-03-22,832,3.1209033454733475,1.2942542675138098,1,COVID-19
2020-03-29,2728,10.232961930830879,1.6118046052481934,1,COVID-19
2020-04-05,1826,6.849482582733573,1.5666906069622306,1,COVID-19
2020-04-12,654,2.4532100816581357,1.1789861478541812,0,COVID-19
2020-04-19,297,1.1140724682759426,0.8207269816160611,0,COVID-19
2020-04-26,117,0.43887703295718944,0.6531167374257046,0,COVID-19
2020-05-03,80,0.30008686014166797,0.7037513870705483,0,COVID-19
2020-05-10,146,0.5476585197585441,0.8484730121245626,0,COVID-19
2020-05-17,107,0.401366175439481,0.9428143352516222,0,COVID-19
2020-05-24,70,0.2625760026239595,0.9854609150634379,0,COVID-19
2020-05-31,79,0.29633577438989717,0.9836842303612036,0,COVID-19
2020-06-07,70,0.2625760026239595,0.9626034376331383,0,COVID-19
2020-06-14,47,0.17630103033322997,0.9728635520891846,0,COVID-19
2020-06-21,134,0.5026454907372939,1.0199155310409278,0,COVID-19
2020-06-28,205,0.7689725791130243,1.0645223209487582,0,COVID-19
2020-07-05,721,2.704532827026783,1.2228792179899228,1,COVID-19
2020-07-12,1191,4.467543130359083,1.366619555986983,1,COVID-19
2020-07-19,1888,7.082049899343366,1.423391515186793,1,COVID-19
2020-07-26,2509,9.411474151193064,1.404708596115025,1,COVID-19
2020-08-02,3332,12.498617724900473,1.288909698123323,1,COVID-19
2020-08-09,3416,12.813708928049225,1.2043591697728435,1,COVID-19
2020-08-16,2337,8.766287401888476,1.0533357298075585,0,COVID-19
2020-08-23,1567,5.8779513730249215,0.913401990101946,0,COVID-19
2020-08-30,945,3.544776035423453,0.7978312619163174,0,COVID-19
2020-09-06,660,2.475716596168761,0.7581006554256,0,COVID-19
2020-09-13,400,1.50043430070834,0.7651148537178819,0,COVID-19
2020-09-20,278,1.0428018389922964,0.7884244228221536,0,COVID-19
2020-09-27,131,0.4913922334819814,0.8050440112568352,0,COVID-19
2020-10-04,105,0.3938640039359393,0.8317803749422474,0,COVID-19
2020-10-11,123,0.46138354746781457,0.8918727992791621,0,COVID-19
2020-10-18,139,0.5214009194961482,0.9532237442284127,0,COVID-19
2020-10-25,116,0.4351259472054186,1.0008361064203366,0,COVID-19
2020-11-01,91,0.3413488034111473,0.992568248191565,0,COVID-19
2020-11-08,62,0.2325673166097927,0.9640081711813693,0,COVID-19
2020-11-15,59,0.22131405935448017,0.9545837933751984,0,COVID-19
2020-11-22,96,0.3601042321700016,0.9843210760975194,0,COVID-19
2020-11-29,78,0.2925846886381263,1.0019188586796965,0,COVID-19
2020-12-06,71,0.2663270883757304,1.008740492830158,0,COVID-19
2020-12-13,69,0.25882491687218867,0.9991409488097238,0,COVID-19
2020-12-20,103,0.3863618324323975,1.0009258436888162,0,COVID-19
