Model,Horizon_weeks,AUC
Logistic Regression,1,0.9754329440193314
Logistic Regression,2,0.9064583333333334
Logistic Regression,3,0.8086139896373057
Logistic Regression,4,0.7107081174438687
Logistic Regression,6,0.5824697754749568
Logistic Regression,8,0.4503454231433506
Random Forest,1,0.9332460732984292
Random Forest,2,0.8354166666666667
Random Forest,3,0.731649395509499
Random Forest,4,0.6542530224525044
Random Forest,6,0.5090673575129533
Random Forest,8,0.4616796200345423
Gradient Boosting,1,0.9107933950865889
Gradient Boosting,2,0.8049999999999999
Gradient Boosting,3,0.7139464594127806
Gradient Boosting,4,0.6547927461139896
Gradient Boosting,6,0.4859671848013817
Gradient Boosting,8,0.4506692573402419
XGBoost,1,0.9714055577929923
XGBoost,2,0.8972916666666667
XGBoost,3,0.7912348877374784
XGBoost,4,0.7113557858376511
XGBoost,6,0.5347582037996546
XGBoost,8,0.45811744386873926
