file,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Total,Date,Rt_NSW,Rt_VIC,Rt_QLD,Rt_WA,Rt_SA
national_notifiable_diseases_surveillance_system_nndss_fortnight_report_-_11_december_2023_to_07_january_2024_0.xlsx,50.0,1891.0,95.0,1079.0,241.0,69.0,479.0,145.0,4049,2024-01-01,,,,,
national_notifiable_diseases_surveillance_system_nndss_fortnightly_reports_-_02_january_to_29_january_2024.xlsx,27.0,1022.0,47.0,590.0,95.0,31.0,293.0,81.0,2186,2024-01-15,,,,,
3._fortnight_fn03_-_10feb2025-web.xlsx,35.0,1075.0,42.0,832.0,109.0,29.0,317.0,105.0,2544,2024-01-29,,,,,
nndss_fortnightly_table_-_5_february_2024_to_18_february_2024.xlsx,29.0,2092.0,77.0,1041.0,113.0,11.0,397.0,72.0,3832,2024-02-12,,,,,
nndss_fortnightly_table_-_19_february_2024_to_3_march_2024.xlsx,48.0,3289.0,109.0,1385.0,125.0,12.0,567.0,109.0,5644,2024-02-26,1.0742179585325002,1.0254431887086688,1.0427679690436518,0.9735432927514827,0.956448015747648
national_notifiable_diseases_surveillance_system_nndss_fortnight_report_-_04_march_2024_to_17_march_2024.xlsx,56.0,4246.0,125.0,1838.0,151.0,27.0,689.0,141.0,7273,2024-03-11,1.1685357948342954,1.0939759070289383,1.1153779379218713,1.045608881976894,1.04231184307222
nndss_fortnightly_table_-_18_march_2024_to_31_march_2024.xlsx,73.0,5171.0,136.0,2161.0,130.0,37.0,956.0,183.0,8847,2024-03-25,1.1631792482197305,1.1142513948417405,1.1021417690338262,1.0719413204650579,1.0253454258449817
nndss_fortnightly_table_-_01_april_2024_to_14_april_2024.xlsx,124.0,5474.0,154.0,2935.0,194.0,51.0,1390.0,169.0,10491,2024-04-08,1.0978190766727494,1.126159458862503,1.103911211558652,1.0904933844050364,1.0446752274767035
national_notifiable_diseases_surveillance_system_nndss_fortnight_report_-_15_april_to_28_april_2024 (1).xlsx,207.0,5740.0,157.0,2825.0,281.0,77.0,2012.0,134.0,11433,2024-04-22,1.055191302215181,1.135367030890028,1.0771905872591125,1.023431599363694,1.0758229884880446
3._fortnight_fn10_-_20may2024_adt_-web.xlsx,252.0,5156.0,91.0,2626.0,313.0,91.0,2773.0,146.0,11448,2024-05-06,1.0195429435777716,1.1485872005768019,1.0392944024783721,0.9905982287481737,1.0910333677252062
3._fortnight_fn11_-_03jun2024_adt_-web.xlsx,399.0,6293.0,66.0,2858.0,439.0,149.0,3809.0,214.0,14227,2024-05-20,1.0131616171012985,1.14530439299934,1.0177426297643595,1.0065442693276636,1.1206521845982627
